/;GFOOT;group;20210202_並行稼働開始;;;;;;;;;
/GFOOT/10_日次/01_HULFT/BACKUP/配信_11_AEON_商品マスタ_0407/ファイル分割処理/;SPLIT_File;pjob;work_ANPLUSND.DAT,old_ANPLUSND.DAT -->  ANPLUSND_SPLT.DAT,over_ANPLUSND.DAT;COM_EXE_ASTERIA.bat;501 情報 AEON_HHT_001 HFT_APV_ANPLU_SPLT;D:\GFETL\BAT;TYCLDS30;;;;;
/GFOOT/10_日次/01_HULFT/BACKUP/配信_11_AEON_商品マスタ_0407/;店舗売価マスタ_BO転入完了;evwjb;7FFFA708_10_日次/10_DWH/12_店舗売価マスタ更新_BO転入;;;;;;7FFFA708;;;
/GFOOT/10_日次/01_HULFT/BACKUP/配信_11_AEON_商品マスタ_0407/;売変データ更新完了;evwjb;7FFFA709 10_日次/31_店舗/01_自動売変;;;;TYCLDS30;;7FFFA709;;;
/GFOOT/10_日次/01_HULFT/;メンテナンスBackUpファイル退避;net;手動;;;;;;;;;
/GFOOT/10_日次/01_HULFT/メンテナンスBackUpファイル退避/;バックアップ退避;pjob;;MOVE_TO_BOX_HULFT_BACKUP_FILE.bat;501 情報 hulftバックアップ;C:\APP\BAT;TYCLDS31;;;;;
/GFOOT/10_日次/01_HULFT/;集信_00_AEONデータ処理結果確認;net;毎時_09:00~20:00 ANKYAKUTIME.dat EAS2E00A　未処理ファイルのチェック;;;;;;;;;
/GFOOT/10_日次/01_HULFT/集信_00_AEONデータ処理結果確認/;File監視エラー;pjob;エラーメール送信;COM_SND_EVENTCREATE.bat;501 即時 ANKYAKUTIME_ファイル検知（未処理）;D:\GFETL\BAT;TYCLDS30;;;;;
/GFOOT/10_日次/01_HULFT/集信_00_AEONデータ処理結果確認/;ファイル監視;flwjb;ANKYAKUTIME.datのファイル監視;;;;TYCLDS31;;;;c;C:\HFT\RCV\ANKYAKUTIME.dat
/GFOOT/10_日次/01_HULFT/;集信_01_AEON_HHT_v3;net;10分毎_08:50~22:50 AN_HHT001.dat;;;;;;;;;
/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;AEONデータ取込;pjob;AEONデータ取込 TW_AEON_BAIHEN(GFIF);COM_LOAD_DATA_v2.bat;501 即時 AEON売変データ ADW_GFIF GFIF_TW_AEON_BAIHEN C:\HFT\RCV\ANHHT001.data;C:\APP\BAT;TYCLDS31;;;;;
/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;Dr.Sum更新;net;;;;;;;;;;
/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/Dr.Sum更新/;送711_AEON_HHT処理完了イベント;evsjb;7FFFA711 AEON_HHT処理完了イベント;;;;TYCLDS30;TYCLDS30;;7FFFA711;;
/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;FileBackUp;pjob;;COM_BACKUP_v2.BAT;501 即時 AEON売変データ MOVE C:\HFT\RCV\ANHHT001.data;C:\APP\BAT;TYCLDS31;;;;;
/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;FileBackUp_Copy;pjob;受信直後にファイルをコピー;COM_BACKUP_v2.BAT;501 即時 AEON売変データ COPY C:\HFT\RCV\ANHHT001.data;C:\APP\BAT;TYCLDS31;;;;;
