対象店舗コード出力;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626020;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122b8\b70cf\0.1548f.err;なし;@2W9775;****/**/**;****/**/** **:**:**;"GFOOTハンディへの連携用ファイル出力　COM_EXPORT_DATA.bat";****/**/** **:**;****/**/** **:**
店舗売価マスタ更新;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3/;pjob;先行終了待ち;****/**/** **:**;***;****/**/** **:**:**;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626020;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\122b8\b70cf\0.122c5.err;なし;@2W9775;****/**/**;****/**/** **:**:**;"TI_AEON_BAIHEN";****/**/** **:**;****/**/** **:**
集信_01_AEON_HHT_v3_DrSum;/GFOOT/10_日次/01_HULFT/;net;正常終了;2025/01/08 18:38;***;2026/06/26 07:00:00;****/**/** **:**:**;2026/06/26 07:09:56;***;***;20260626001;***;なし;@2W8907;2026/06/26;2026/06/26 07:00:00;"日次_07:00~08:40 AN_HHT001.dat 売変情報付加";****/**/** **:**;****/**/** **:**
AEONデータ取込;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3_DrSum/;pjob;正常終了;****/**/** **:**;0;2026/06/26 07:09:01;****/**/** **:**:**;2026/06/26 07:09:17;TYCLDS31;224503;20260626001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14f38\b6d6b\0.15435.err;なし;@2W8907;****/**/**;2026/06/26 07:09:01;"AEONデータ取込 TW_AEON_BAIHEN(GFIF)";****/**/** **:**;****/**/** **:**
Dr.Sum更新;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3_DrSum/;pjob;正常終了;****/**/** **:**;0;2026/06/26 07:09:22;****/**/** **:**:**;2026/06/26 07:09:56;jobserver01;224507;20260626001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14f38\b6d6b\0.14f3b.err;なし;@2W8907;****/**/**;2026/06/26 07:09:22;"VR_AEON_HHT_売変データ";****/**/** **:**;****/**/** **:**
FileBackUp;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3_DrSum/;pjob;正常終了;****/**/** **:**;0;2026/06/26 07:09:17;****/**/** **:**:**;2026/06/26 07:09:17;TYCLDS31;224505;20260626001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14f38\b6d6b\0.1543a.err;なし;@2W8907;****/**/**;2026/06/26 07:09:17;"受信したファイルを移動";****/**/** **:**;****/**/** **:**
FileBackUp_Copy;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3_DrSum/;pjob;正常終了;****/**/** **:**;0;2026/06/26 07:09:01;****/**/** **:**:**;2026/06/26 07:09:01;TYCLDS31;224504;20260626001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14f38\b6d6b\0.15436.err;なし;@2W8907;****/**/**;2026/06/26 07:09:01;"受信直後にファイルをコピー";****/**/** **:**;****/**/** **:**
ファイル監視_ANHHT001.data;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3_DrSum/;flwjb;正常終了;****/**/** **:**;0;2026/06/26 07:00:00;****/**/** **:**:**;2026/06/26 07:09:01;TYCLDS31;0;20260626001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14f38\b6d6b\0.15434.err;なし;@2W8907;****/**/**;2026/06/26 07:00:00;"ANHHT001.datのファイル監視 8:40に打ち切り";****/**/** **:**;****/**/** **:**
売変情報付加;/GFOOT/10_日次/01_HULFT/集信_01_AEON_HHT_v3_DrSum/;pjob;正常終了;****/**/** **:**;0;2026/06/26 07:09:17;****/**/** **:**:**;2026/06/26 07:09:22;TYCLDS31;224506;20260626001;C:\ProgramData\Hitachi\jp1\jp1_default\JP1AJS2\jobinf\14f38\b6d6b\0.15437.err;なし;@2W8907;****/**/**;2026/06/26 07:09:17;"TI_AEON_BAIHEN";****/**/** **:**;****/**/** **:**
集信_02_共通POS_数量データ;/GFOOT/10_日次/01_HULFT/;net;実行中;2022/11/13 07:37;***;2026/06/26 12:00:00;****/**/** **:**:**;****/**/** **:**:**;***;***;20260626016;***;なし;@2W9773;2026/06/26;2026/06/26 12:00:00;"15分毎_09:00~24:30 EAS2E016.txt";****/**/** **:**;****/**/** **:**
